file 'bm4ZB.out'; 9 or 999.9999 indicates missing data.
label
ewg       w         rp        v         sd        run       gl        pgk     
cg        gpdh      ninaC     glt       prd       mhc       ddc       duc    
eve       sli       plu       egfr      twi       zip       lsp       ve    
acr       dbi       h         cyc       fz        eip       tra       rdg    
ht        ant       ninaE     fas       mst       odh       tub       hb    
rox       ald       mlc       jan       efi                                   
pc1       adjpc1    area      areat     tibia
BM01-1 2 2 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 1 2 1  -0.01394  -0.12113   0.00339   0.00803   0.42200
BM01-2 0 0 0 0 2 2 2 2 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  -0.00743  -0.02656   0.00483   0.01114   0.43400
BM01-3 2 2 2 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  -0.01475  -0.09406   0.00355   0.00842   0.42100
BM01-4 2 0 0 0 0 0 1 1 2 2 2 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2  -0.01697  -0.06378   0.00316   0.00707   0.44700
BM01-5 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2  -0.01397  -0.13946   0.00358   0.00817   0.43800
BM02-1 2 2 2 2 2 2 1 1 1 1 9 1 1 1 1 1 1 1 9 1 1 1 2 2 2 2 9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  -0.01225  -0.11392   0.00387   0.00840   0.46100
BM02-2 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1  -0.00352   0.02645   0.00528   0.01228   0.43000
BM02-3 0 2 2 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 2 1 9 1 1 1 1 1 1 1 1 1 1 1  -0.01472  -0.07289   0.00335   0.00816   0.41000
BM02-4 0 0 0 0 0 0 2 2 2 2 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1  -0.01540  -0.15294   0.00333   0.00762   0.43700
BM02-5 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 1 1 1 1 1  -0.00210   0.03296   0.00551   0.01258   0.43800
